time,ion_current_M2,ion_current_M44,potential,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
12.35,3.114858187845304e-09,2.7669295690607734e-10,0.04206447368421047,-0.000763526315789474,,-7.635263157894741e-07,-0.763526315789474,-2.0675451933701333e-10,-2.1762490026305523e-10,1.0870380926041953e-11,3.111080343730897e-09,3.117348882495743e-09,-2.4906946504392148e-12,-1.4629855677110752e-11,1.2139161026671534e-11,3.112844099447513e-09,2.0140883977903383e-12,-1.20510738631573e-11,-1.5831040240709718e-11,3.779966377552421e-12,3.111080343730897e-09,3.6871841980210375e-10,-9.20254628960264e-11,-9.350997311796508e-11,1.4845102219386686e-12,2.7522503736263736e-10,1.4679195434399717e-12
12.4,3.1141700662983427e-09,2.7681074696132594e-10,0.039986249999999966,-0.0007573749999999997,,-7.573749999999997e-07,-0.7573749999999997,-2.0744264088397487e-10,-2.176134179582789e-10,1.0170777074304062e-11,3.1110958988069016e-09,3.117361521184772e-09,-3.1914548864295856e-12,-1.4629569851674492e-11,1.1438114965244908e-11,3.1128515082872936e-09,1.3185580110487125e-12,-1.1933283807908693e-11,-1.5831439923272144e-11,3.898156115363451e-12,3.1110958988069016e-09,3.686887294688268e-10,-9.187798250750084e-11,-9.348842648359831e-11,1.6104439760974843e-12,2.752288839779005e-10,1.5818629834254252e-12
12.45,3.113481944751381e-09,2.769018456043956e-10,0.03776949999999996,-0.0007595000000000003,,-7.595000000000002e-07,-0.7595000000000002,-2.08130762430936e-10,-2.1760193568307925e-10,9.471173252143203e-12,3.1111114528027945e-09,3.11737415907292e-09,-3.892214321539139e-12,-1.4629284045273662e-11,1.0737069723734523e-11,3.1128977857142856e-09,5.84159037095525e-13,-1.1842185164839048e-11,-1.583183959700753e-11,3.98965443216848e-12,3.1111114528027945e-09,3.6865904601260316e-10,-9.175720040820757e-11,-9.346687992907301e-11,1.7096795208654231e-12,2.7525614725274733e-10,1.645698351648308e-12
12.5,3.1127938232044195e-09,2.769306642857143e-10,0.035394500000000044,-0.0007806724137931028,,-7.806724137931029e-07,-0.7806724137931029,-2.0881888397789762e-10,-2.1759045343772355e-10,8.771569459825935e-12,3.111127005708357e-09,3.117386796160213e-09,-4.592972955793928e-12,-1.4628998258063108e-11,1.0036025302269184e-11,3.112908252747253e-09,-1.144295428334038e-13,-1.1813366483520337e-11,-1.5832239261838587e-11,4.018872778318247e-12,3.111127005708357e-09,3.686293694327283e-10,-9.1698705147014e-11,-9.344533345558916e-11,1.7466283085751383e-12,2.752570895027624e-10,1.6735747829518991e-12
12.55,3.113618497237569e-09,2.7695948296703296e-10,0.032957749999999994,-0.0008148392857142857,,-8.148392857142854e-07,-0.8148392857142858,-2.0799420994474825e-10,-2.1757897122247916e-10,9.584761277730916e-12,3.1111425575136066e-09,3.1173994324466834e-09,-3.7809352091144535e-12,-1.4628712490197692e-11,1.084777728108324e-11,3.1129327403314915e-09,6.857569060773892e-13,-1.1784547802201676e-11,-1.5832638917687994e-11,4.048091115486319e-12,3.1111425575136066e-09,3.6859969972849813e-10,-9.164021676146512e-11,-9.34237870643468e-11,1.7835703028816664e-12,2.752591607734806e-10,1.7003221935523758e-12
12.6,3.1160820331491717e-09,2.769883016483516e-10,0.03029456363636355,-0.0008539999999999999,,-8.539999999999998e-07,-0.8540000000000001,-2.0553067403314583e-10,-2.1756748903761342e-10,1.2036815004467596e-11,3.111158108208728e-09,3.1174120679323593e-09,-1.3300347831875709e-12,-1.4628426741832257e-11,1.3298391958644686e-11,3.1129753370165747e-09,3.1066961325970605e-12,-1.1755729120883015e-11,-1.5833038564478462e-11,4.0773094435954465e-12,3.111158108208728e-09,3.685700368992085e-10,-9.158173525085688e-11,-9.34022407565459e-11,1.8205055056890232e-12,2.7528593922651933e-10,1.7023624218322933e-12
12.65,3.1185455690607733e-09,2.770166055248619e-10,0.027357618181818158,-0.0008539999999999999,,-8.539999999999998e-07,-0.8540000000000001,-2.0306713812154343e-10,-2.175560068833937e-10,1.4488868761850236e-11,3.1111736577841505e-09,3.1174247026172677e-09,1.1208664435055653e-12,-1.4628141013121665e-11,1.574900745662723e-11,3.113027527472528e-09,5.518041588246078e-12,-1.1727425244372756e-11,-1.5833438202132688e-11,4.10601295775993e-12,3.1111736577841505e-09,3.685403809441552e-10,-9.152377541929329e-11,-9.338069453338655e-11,1.8569191140932597e-12,2.753113574585636e-10,1.7052480662983547e-12
12.7,3.121009104972376e-09,2.7704464419889503e-10,0.02532307272727266,-0.0008539999999999999,,-8.539999999999998e-07,-0.8540000000000001,-2.0060360220994103e-10,-2.175445247600872e-10,1.6940922550146188e-11,3.111189206230305e-09,3.1174373365014418e-09,3.5717684709339365e-12,-1.462785530422077e-11,1.8199623775154708e-11,3.1130295384615383e-09,7.979566510837772e-12,-1.16993865703396e-11,-1.5833837830573368e-11,4.134451260233767e-12,3.111189206230305e-09,3.6851073186263434e-10,-9.146608766373923e-11,-9.335914839606876e-11,1.89306073232952e-12,2.753117054945055e-10,1.73293870438956e-12
12.75,3.1212377582417583e-09,2.7707268287292814e-10,0.023103407407407392,-0.0008539999999999999,,-8.539999999999998e-07,-0.8540000000000001,-2.003749489405588e-10,-2.1753304266796146e-10,1.7158093727402652e-11,3.111204753537624e-09,3.1174499695849074e-09,3.787788656850924e-12,-1.4627569615284448e-11,1.8415358272135373e-11,3.1130386298342542e-09,8.199128407504527e-12,-1.16713478963065e-11,-1.5834237449723218e-11,4.162889553416719e-12,3.111204753537624e-09,3.6848108965394124e-10,-9.14084067810132e-11,-9.33376023457927e-11,1.9291955647795035e-12,2.753203779005524e-10,1.7523049723756826e-12
12.8,3.121102593406593e-09,2.771172696132596e-10,0.02050261818181819,-0.0008813636363636363,,-8.813636363636364e-07,-0.8813636363636363,-2.0051011377572385e-10,-2.175215606072837e-10,1.7011446831559858e-11,3.1112202996965372e-09,3.117462601867694e-09,3.639991538899175e-12,-1.4627283946467538e-11,1.8267275485366712e-11,3.113039204419889e-09,8.063388986704242e-12,-1.1626761155975012e-11,-1.5834637059504934e-11,4.207875903529925e-12,3.1112202996965372e-09,3.6845145431737227e-10,-9.13341847041127e-11,-9.331605638375848e-11,1.9818716796457675e-12,2.753224585635359e-10,1.7948110497237066e-12
12.85,3.120967428571428e-09,2.7755900994475137e-10,0.017683333333333332,-0.0009116666666666666,,-9.116666666666668e-07,-0.9116666666666666,-2.006452786108889e-10,-2.1751007857832145e-10,1.686479996743257e-11,3.1112358446974745e-09,3.117475233349832e-09,3.4921952215966317e-12,-1.4626998297924915e-11,1.8119193519521547e-11,3.113076868131868e-09,7.890560439560545e-12,-1.1185020824483264e-11,-1.5835036659841226e-11,4.650015835357961e-12,3.1112358446974745e-09,3.6842182585222337e-10,-9.086281590747205e-11,-9.329451051116616e-11,2.431694603694112e-12,2.753228307692307e-10,2.2361791755206765e-12
12.9,3.1208138674033152e-09,2.7800075027624307e-10,0.01523463636363641,-0.0009038363636363645,,-9.038363636363643e-07,-0.9038363636363642,-2.0079883977900239e-10,-2.1749859658134206e-10,1.6699756802339777e-11,3.1112513885308687e-09,3.1174878640313463e-09,3.326003371968468e-12,-1.462671266981142e-11,1.7952716041779892e-11,3.113086497237569e-09,7.727370165745904e-12,-1.0743280492991569e-11,-1.5835436250654785e-11,5.092155757663218e-12,3.1112513885308687e-09,3.6839220425779033e-10,-9.039145398154726e-11,-9.327296472921584e-11,2.881510747668561e-12,2.753248285714286e-10,2.6759217048144936e-12
12.95,3.1205950828729287e-09,2.784424906077348e-10,0.013063607142857134,-0.0008968928571428573,,-8.968928571428574e-07,-0.8968928571428572,-2.0101762430938886e-10,-2.1748711461661286e-10,1.6469490307224055e-11,3.11126693118715e-09,3.117500493912273e-09,3.094588960655637e-12,-1.4626427062281906e-11,1.7721016022937547e-11,3.113126071823205e-09,7.469011049723331e-12,-1.0301540161499869e-11,-1.5835835831868332e-11,5.534295670368459e-12,3.11126693118715e-09,3.683625895333698e-10,-8.992009892563504e-11,-9.325141903910751e-11,3.331320113472484e-12,2.7533507127071823e-10,3.1074193370165357e-12
13.0,3.120376298342541e-09,2.7841775e-10,0.010926385964912305,-0.0009242456140350873,,-9.242456140350872e-07,-0.9242456140350872,-2.0123640883977572e-10,-2.1747563268440114e-10,1.6239223844625394e-11,3.111282472656752e-09,3.1175131229926337e-09,2.863175349907643e-12,-1.462614147549122e-11,1.7489316825398864e-11,3.113144016574585e-09,7.2322817679558795e-12,-1.0326280769234623e-11,-1.583623540340456e-11,5.509954634169939e-12,3.111282472656752e-09,3.6833298167825713e-10,-8.991523167825706e-11,-9.322987344204127e-11,3.314641763784194e-12,2.753372591160221e-10,3.0804908839779502e-12
