time,ion_current_M2,ion_current_M44,potential,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
1784.35,3.2659014419889478e-09,4.6447088563535325e-10,1.428123999999999,0.3721173333333041,,0.0003721173333333041,372.11733333330415,-5.571126519336893e-11,-7.540661673240288e-11,1.9695351539033944e-11,3.253091656297152e-09,3.269466765138837e-09,-3.5653231498889415e-12,-2.3263037240357025e-11,1.9697714090468087e-11,3.2587043204419884e-09,7.197121546959813e-12,1.7572685486611864e-10,-3.348347887567948e-12,1.7907520275368655e-10,3.253091656297152e-09,4.838926666724582e-10,-1.942178103710498e-11,-1.9849259209113682e-10,1.7907081105403184e-10,4.2914193259668966e-10,3.532895303866369e-11
1784.4,3.2641185690607717e-09,4.6140084065933817e-10,1.4271924516129022,0.3521848064515949,,0.00035218480645159497,352.1848064515949,-5.749413812154584e-11,-7.54063200881969e-11,1.7912181966651075e-11,3.2530918119052968e-09,3.2694678090484208e-09,-5.3492399876498965e-12,-2.326378519901609e-11,1.7914545211366195e-11,3.258690143646409e-09,5.428425414362444e-12,1.7265680989010353e-10,-3.348252991482668e-12,1.760050628815862e-10,3.2530918119052968e-09,4.838868038592496e-10,-2.2485963199911428e-11,-1.9848663441366544e-10,1.76000671213754e-10,4.2914193259668966e-10,3.225890806264861e-11
1784.45,3.2623356961325944e-09,4.5875171978021667e-10,1.4259786865671626,0.33168650746266554,,0.00033168650746266546,331.6865074626655,-5.927701104972276e-11,-7.540602212450525e-11,1.612901107478251e-11,3.253091969991627e-09,3.2694688529915586e-09,-7.133156858964193e-12,-2.326453187180052e-11,1.613137501283633e-11,3.258690143646409e-09,3.6455524861855375e-12,1.7000768901098195e-10,-3.348158039497572e-12,1.7335584705047957e-10,3.253091969991627e-09,4.838809401471608e-10,-2.512922036694423e-11,-1.9848067578262303e-10,1.7335145541567883e-10,4.2914193259668966e-10,2.960978718352705e-11
1784.5,3.260618662983424e-09,4.5610259890109517e-10,1.424566,0.310988,,0.000310988,310.988,-6.09940441988933e-11,-7.54057228412602e-11,1.4411678642366893e-11,3.2530921305486165e-09,3.26946989696826e-09,-8.851233984835818e-12,-2.326527725865162e-11,1.4414043273815804e-11,3.258690143646409e-09,1.9285193370149833e-12,1.6735856813186043e-10,-3.3480630317211283e-12,1.7070663116358156e-10,3.2530921305486165e-09,4.838750755362722e-10,-2.777247663517716e-11,-1.9847471619819997e-10,1.7070223956302278e-10,4.2914193259668966e-10,2.6960666304405506e-11
1784.5500000000004,3.259029436464081e-09,4.5345347802196157e-10,1.4234364918032774,0.29022980327866377,,0.00029022980327866383,290.22980327866384,-6.258327071823585e-11,-7.540542223839399e-11,1.2822151520158137e-11,3.2530922935687413e-09,3.2694709409785347e-09,-1.0441504514453462e-11,-2.3266021359510683e-11,1.2824516845057225e-11,3.258690143646409e-09,3.3929281767243047e-13,1.6470944725272688e-10,-3.3479679682618045e-12,1.680574152209887e-10,3.2530922935687413e-09,4.838692100266635e-10,-3.041573200470203e-11,-1.984687556605864e-10,1.6805302365588433e-10,4.2914193259668966e-10,2.4311545425271962e-11
1784.6,3.2574402099447458e-09,4.524461662983455e-10,1.4219966129032198,0.26988435483863105,,0.0002698843548386311,269.884354838631,-6.417249723757096e-11,-7.540512031583895e-11,1.1232623078267991e-11,3.2530924590444788e-09,3.2694719850223938e-09,-1.2031775077647605e-11,-2.3266764174319e-11,1.1234989096671395e-11,3.258690143646409e-09,-1.2499337016626775e-12,1.6370213552911085e-10,-3.347872849228065e-12,1.670500083783389e-10,3.2530924590444788e-09,4.838633436184155e-10,-3.141717732006999e-11,-1.9846279416997254e-10,1.6704561684990255e-10,4.2914193259668966e-10,2.3304233701655926e-11
1784.65,3.2558509834254107e-09,4.529543707182344e-10,1.4203942903225737,0.2501500322579809,,0.0002501500322579809,250.1500322579809,-6.576172375690608e-11,-7.540481707352736e-11,9.643093316621292e-12,3.2530926269683044e-09,3.269473029099845e-09,-1.3622045674434386e-11,-2.3267505703017854e-11,9.645460028583476e-12,3.258690143646409e-09,-2.839160220997786e-12,1.642103399489998e-10,-3.347777674728373e-12,1.6755811762372815e-10,3.2530926269683044e-09,4.838574763116078e-10,-3.090310559337351e-11,-1.9845683172654858e-10,1.675537261331751e-10,4.2914193259668966e-10,2.381243812154485e-11
1784.7,3.256556813186815e-09,4.5346257513812334e-10,1.4187700161290302,0.2310993870967485,,0.0002310993870967485,231.09938709674847,-6.505589399550226e-11,-7.540451251139159e-11,1.0348618515889334e-11,3.2530927973331284e-09,3.2694740732109013e-09,-1.2917260024086868e-11,-2.3268245945548545e-11,1.0350985921461677e-11,3.258690143646409e-09,-2.1333304595939748e-12,1.647185443688887e-10,-3.3476824448711885e-12,1.6806622681375992e-10,3.2530927973331284e-09,4.838516081063213e-10,-3.03890329681981e-11,-1.984508683305047e-10,1.6806183536230657e-10,4.2914193259668966e-10,2.432064254143378e-11
1784.75,3.258155164835165e-09,4.5397077955801227e-10,1.4172230500000025,0.21275815000002296,,0.0002127581500000229,212.75815000002288,-6.345754234715179e-11,-7.540420662936403e-11,1.1946664282212256e-11,3.253092970132137e-09,3.26947511735557e-09,-1.131995252040475e-11,-2.3268984901852335e-11,1.1949032381447588e-11,3.258690143646409e-09,-5.349788112434932e-13,1.6522674878877763e-10,-3.347587159764971e-12,1.685743359485426e-10,3.253092970132137e-09,4.838457390026358e-10,-2.987495944462348e-11,-1.9844490398203082e-10,1.6856994453740731e-10,4.2914193259668966e-10,2.482884696132271e-11
1784.8000000000004,3.259753516483523e-09,4.5087515524859846e-10,1.4153572166666606,0.19594398333327984,,0.0001959439833332798,195.94398333327985,-6.185919069879425e-11,-7.540389942737702e-11,1.3544708728582756e-11,3.253093145358863e-09,3.2694761615338638e-09,-9.722645050340908e-12,-2.3269722571870536e-11,1.3547077521529628e-11,3.258690143646409e-09,1.0633728371140198e-12,1.6213112447936387e-10,-3.3474918195181773e-12,1.6547861629888203e-10,3.253093145358863e-09,4.838398690006317e-10,-3.2964713752033104e-11,-1.984389386813169e-10,1.6547422492928384e-10,4.2914193259668966e-10,2.1733222651908948e-11
