time,potential,current1_mA,coll_current,current1,current1_muA
984.2860000000001,0.06807,-0.009151,,-9.151e-06,-9.151000000000002
984.3480000000001,0.065316,-0.009709,,-9.709e-06,-9.709
984.4069999999999,0.062389,-0.010339,,-1.0339e-05,-10.339
984.47,0.059462,-0.011096,,-1.1095999999999998e-05,-11.095999999999998
984.5319999999999,0.056708,-0.011957,,-1.1957000000000001e-05,-11.957
984.6010000000001,0.054297000000000005,-0.012694,,-1.2694e-05,-12.694
984.659,0.054642,-0.00733,,-7.33e-06,-7.33
984.721,0.056019000000000006,-0.004644,,-4.644e-06,-4.644
984.783,0.057741,-0.003246,,-3.2460000000000008e-06,-3.2460000000000004
984.8439999999999,0.059462,-0.002206,,-2.206e-06,-2.206
984.904,0.061356,-0.0014,,-1.4e-06,-1.4
984.965,0.06359400000000001,-0.000773,,-7.729999999999999e-07,-0.773
985.0260000000001,0.066005,-0.000295,,-2.9500000000000003e-07,-0.29500000000000004
985.091,0.068587,0.000105,,1.05e-07,0.105
985.1489999999999,0.07116900000000001,0.000308,,3.08e-07,0.308
985.21,0.073924,0.000487,,4.870000000000001e-07,0.487
985.2710000000001,0.076851,0.000594,,5.939999999999999e-07,0.594
985.3330000000001,0.07995,0.000676,,6.76e-07,0.6759999999999999
985.3939999999999,0.08253200000000001,0.000697,,6.970000000000001e-07,0.6970000000000001
985.454,0.085631,0.000676,,6.76e-07,0.6759999999999999
985.515,0.088903,0.0006450000000000001,,6.450000000000001e-07,0.645
985.575,0.091657,0.00059,,5.900000000000001e-07,0.5900000000000001
985.633,0.094756,0.000504,,5.04e-07,0.504
985.693,0.097855,0.000435,,4.35e-07,0.435
985.7539999999999,0.10061,0.000377,,3.7700000000000005e-07,0.377
985.815,0.103881,0.000311,,3.11e-07,0.31099999999999994
985.877,0.107324,0.000242,,2.4199999999999997e-07,0.242
985.938,0.110251,0.000167,,1.67e-07,0.16699999999999998
985.9989999999999,0.113694,7.7e-05,,7.7e-08,0.077
986.06,0.116793,-2e-06,,-2e-09,-0.002
986.1210000000001,0.119892,-8.1e-05,,-8.1e-08,-0.081
986.181,0.122991,-0.000143,,-1.43e-07,-0.14300000000000002
986.2410000000001,0.126263,-0.000195,,-1.95e-07,-0.195
986.301,0.129361,-0.000243,,-2.4300000000000005e-07,-0.243
986.3610000000001,0.13228800000000002,-0.000278,,-2.7800000000000003e-07,-0.278
986.421,0.13538699999999998,-0.000322,,-3.2200000000000005e-07,-0.322
986.48,0.13797,-0.000371,,-3.71e-07,-0.371
986.5419999999999,0.141413,-0.000436,,-4.36e-07,-0.4360000000000001
986.6030000000001,0.144512,-0.000536,,-5.36e-07,-0.536
986.664,0.147783,-0.000601,,-6.009999999999999e-07,-0.601
986.722,0.15070999999999998,-0.000625,,-6.25e-07,-0.625
986.7819999999999,0.153809,-0.000674,,-6.74e-07,-0.674
986.8430000000001,0.156736,-0.000736,,-7.359999999999999e-07,-0.736
986.904,0.15983499999999998,-0.000798,,-7.979999999999999e-07,-0.7979999999999999
