time,ion_current_M44,potential,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
136.0,3.152555555555555e-09,1.096826,0.0002412747999999,241.2748,-1.1472246642246566e-09,-1.1012519462426116e-09,-4.5972717982045246e-11,8.155967394601508e-10,8.937131223868619e-10,2.258842433168693e-09,-4.3880101794384057e-10,3.152555555555555e-09,3.1493333333333324e-09,3.222222222221832e-12
136.05,3.15e-09,1.0963585,0.0002411492999999,241.1493,-1.1497802197802118e-09,-1.100843129366078e-09,-4.893709041413387e-11,8.156595946495888e-10,8.937391925106547e-10,2.256260807489345e-09,-4.3882714584983236e-10,3.15e-09,3.1493333333333324e-09,6.666666666668713e-13
136.1,3.15e-09,1.0958850000000002,0.0002408862,240.88620000000017,-1.1497802197802118e-09,-1.1004532075629182e-09,-4.9327012217293606e-11,8.157216576182796e-10,8.937652626344476e-10,2.2562347373655524e-09,-4.3885329051141477e-10,3.15e-09,3.1493333333333324e-09,6.666666666668713e-13
136.15,3.15e-09,1.0954025,0.0002404167,240.4167,-1.1497802197802118e-09,-1.1000820990791023e-09,-4.9698120701109434e-11,8.157829280576487e-10,8.937913327582407e-10,2.2562086672417593e-09,-4.3887945192678935e-10,3.15e-09,3.1493333333333324e-09,6.666666666668713e-13
136.20000000000002,3.15e-09,1.0949262,0.0002399785999999,239.97859999999991,-1.1497802197802118e-09,-1.0997297226538711e-09,-5.005049712634064e-11,8.158434056591218e-10,8.938174028820336e-10,2.2561825971179662e-09,-4.389056300941307e-10,3.15e-09,3.1493333333333324e-09,6.666666666668713e-13
136.25,3.139890109890109e-09,1.0944592,0.0002395876,239.58760000000004,-1.1598901098901023e-09,-1.0993959975234435e-09,-6.049411236665904e-11,8.15903090114125e-10,8.938434730058264e-10,2.2460466368842832e-09,-4.3893182501158644e-10,3.139890109890109e-09,3.1493333333333324e-09,-9.443223443223872e-12
136.3,3.1305555555555582e-09,1.0939358,0.0002391455999999,239.1455999999999,-1.1692246642246534e-09,-1.0990808434245467e-09,-7.014382080010677e-11,8.159619811140847e-10,8.938695431296193e-10,2.236686012425939e-09,-4.389580366772778e-10,3.1305555555555582e-09,3.1493333333333324e-09,-1.877777777777499e-11
136.35,3.1361111111111116e-09,1.0933278,0.0002386271,238.62710000000004,-1.1636691086691e-09,-1.098784180698845e-09,-6.488492797025525e-11,8.160200783504274e-10,8.938956132534123e-10,2.2422154978576994e-09,-4.38984265089299e-10,3.1361111111111116e-09,3.1493333333333324e-09,-1.3222222222221589e-11
136.4,3.1383516483516463e-09,1.0927699999999998,0.0002384694,238.4694000000001,-1.1614285714285651e-09,-1.098505930389439e-09,-6.292264103912619e-11,8.160773815145804e-10,8.939216833772052e-10,2.244429964974441e-09,-4.3901051024571784e-10,3.1383516483516463e-09,3.1493333333333324e-09,-1.0981684981686488e-11
136.45000000000002,3.13285714285714e-09,1.0922874999999996,0.0002388529,238.8529000000002,-1.1669230769230714e-09,-1.098246014188277e-09,-6.86770627347943e-11,8.161338902979704e-10,8.939477535009981e-10,2.238909389356142e-09,-4.3903677214457575e-10,3.13285714285714e-09,3.1493333333333324e-09,-1.6476190476192694e-11
