time,ion_current_M2,ion_current_M44,potential,current1_mA,coll_current,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
232.0,4.621203241758241e-09,3.905162736263737e-10,0.392431,-0.00029955357142860515,,-2.995535714286051e-07,-0.2995535714286052,-5.914484175825208e-11,-6.550589120792234e-11,6.361049449670267e-12,4.617051651580194e-09,4.13633513609925e-10,-2.3117239983551336e-11,-2.711807808005937e-11,4.000838096508039e-12,3.9043791428571374e-10,7.835934065981187e-14
232.05,4.626304890109891e-09,3.910871861878456e-10,0.392431,-0.00017291071428574941,,-1.729107142857494e-07,-0.17291071428574942,-5.857392919678019e-11,-6.550289824371026e-11,6.928969046930068e-12,4.617061729140661e-09,4.136431740538389e-10,-2.2555987865993388e-11,-2.7126307831051002e-11,4.570319965057606e-12,3.904338143646408e-10,6.533718232047751e-13
232.1,4.631406538461541e-09,3.919184569060777e-10,0.3924576896551725,-0.00029234482758615465,,-2.9234482758615466e-07,-0.29234482758615465,-5.774265847854805e-11,-6.5499903796021e-11,7.757245317472953e-12,4.6170717969840555e-09,4.13652832052002e-10,-2.1734375145924312e-11,-2.7134534021462362e-11,5.400158875538053e-12,3.904261790055249e-10,1.4922779005528272e-12
232.15,4.626931198895027e-09,3.9274972762430936e-10,0.3929025172413793,-0.00011475862068964123,,-1.1475862068964126e-07,-0.11475862068964125,-5.691138776031633e-11,-6.549690786442472e-11,8.585520104108401e-12,4.617081855101317e-09,4.1366248760479584e-10,-2.091275998048642e-11,-2.7142756650239048e-11,6.2299966697526235e-12,3.904261790055249e-10,2.3235486187845594e-12
232.2,4.618731475138118e-09,3.935809983425416e-10,0.39116913114753976,-0.00023642622950829489,,-2.3642622950829488e-07,-0.2364262295082949,-5.608011704208412e-11,-6.549391044849153e-11,9.413793406407414e-12,4.617091903483387e-09,4.13672140712603e-10,-2.0091142370061408e-11,-2.7150975716326602e-11,7.0598333462651924e-12,3.904261790055249e-10,3.1548193370167558e-12
232.25,4.610531751381214e-09,3.934847464088398e-10,0.3920511724137935,-0.000165241379310317,,-1.65241379310317e-07,-0.16524137931031702,-5.617636897578592e-11,-6.549091154779161e-11,9.314542572005696e-12,4.617101942121211e-09,4.1368179137580513e-10,-2.0197044966965265e-11,-2.715919121867058e-11,6.962146251705318e-12,3.904261790055249e-10,3.058567403314959e-12
232.3,4.603900867403318e-09,3.933078403314917e-10,0.3918849999999994,-6.431034482757794e-05,,-6.431034482757793e-08,-0.06431034482757793,-5.6353275053134084e-11,-6.548791116189518e-11,9.134636108761104e-12,4.617111971005891e-09,4.1369143959478417e-10,-2.0383599263292573e-11,-2.716740315621654e-11,6.7838038929239675e-12,3.904338143646408e-10,2.8740259668508886e-12
232.35,4.611389541436469e-09,3.931309342541435e-10,0.39041837931034495,-0.00012506896551738088,,-1.250689655173809e-07,-0.1250689655173809,-5.653018113048219e-11,-6.548490929037246e-11,8.954728159890273e-12,4.617121990127879e-09,4.137010853699228e-10,-2.0570151115779284e-11,-2.7175611527910037e-11,6.6054604121307526e-12,3.904338143646408e-10,2.697119889502777e-12
232.4,4.618878215469615e-09,3.925509186813183e-10,0.3909823448275872,-0.0002704137931033812,,-2.704137931033812e-07,-0.2704137931033812,-5.711019670330748e-11,-6.548190593279363e-11,8.371709229486156e-12,4.6171319994763e-09,4.1371072870160205e-10,-2.11598100202838e-11,-2.7183816332696623e-11,6.024006312412822e-12,3.904338143646408e-10,2.1171043166774867e-12
232.45,4.626366889502765e-09,3.9103031428571367e-10,0.3931018596491225,-0.00012428070175457822,,-1.2428070175457822e-07,-0.1242807017545782,-5.863080109891206e-11,-6.547890108872897e-11,6.848099989816925e-12,4.617141999039704e-09,4.1372036959020463e-10,-2.269005530449091e-11,-2.7192017569521878e-11,4.501962265030968e-12,3.904338143646408e-10,5.964999210729063e-13
232.5,4.630524736263736e-09,3.8950970989010986e-10,0.3926483508771929,-0.0003812982456140658,,-3.8129824561406585e-07,-0.3812982456140657,-6.015140549451581e-11,-6.547589475774872e-11,5.324489263232912e-12,4.617151988806817e-09,4.137300080361118e-10,-2.4220298146001875e-11,-2.7200215237331383e-11,2.979917091329509e-12,3.9043791428571374e-10,-9.282043956039235e-13
232.55,4.631074186813187e-09,3.879891054945053e-10,0.3928653728813559,-0.00019649152542374688,,-1.964915254237468e-07,-0.19649152542374687,-6.167200989012039e-11,-6.547288693942308e-11,3.8008770493026906e-12,4.617161968766365e-09,4.137396440397058e-10,-2.5750538545200405e-11,-2.7208409335070708e-11,1.4578707898703068e-12,3.9043846923076903e-10,-2.449363736263643e-12
232.6,4.631623637362637e-09,3.877720900552488e-10,0.3912076315789461,-0.00010952631578945765,,-1.0952631578945763e-07,-0.10952631578945762,-6.188902532937693e-11,-6.546987763332231e-11,3.580852303945373e-12,4.617171938907075e-09,4.137492776013687e-10,-2.5977187546119897e-11,-2.721659986168545e-11,1.2394123155655556e-12,3.904415751381218e-10,-2.6694850828729853e-12
232.65,4.632173087912088e-09,3.88226620441989e-10,0.39019299999999996,-0.00021545762711869325,,-2.1545762711869332e-07,-0.21545762711869326,-6.143449494263671e-11,-6.546686683901663e-11,4.032371896379922e-12,4.617181899217677e-09,4.137589087214817e-10,-2.553228827949269e-11,-2.7224786816121183e-11,1.6924985366284983e-12,3.904471276243092e-10,-2.2205071823202053e-12
232.7,4.630328999999999e-09,3.8868115082872946e-10,0.39019299999999996,-0.00024115789473677207,,-2.411578947367721e-07,-0.2411578947367721,-6.097996455589627e-11,-6.546385455607625e-11,4.483890000179981e-12,4.6171918496869e-09,4.137685374004273e-10,-2.5087386571697855e-11,-2.7232970197323458e-11,2.1455836256256037e-12,3.9045831823204364e-10,-1.7771674033141301e-12
232.75,4.628029000000001e-09,3.8914525714285724e-10,0.3908102758620693,-6.603448275862282e-05,,-6.603448275862282e-08,-0.06603448275862282,-6.051585824176849e-11,-6.546084078407136e-11,4.944982542302871e-12,4.617201790303474e-09,4.1377816363858653e-10,-2.4632906495729396e-11,-2.724115000423784e-11,2.6082435085084398e-12,3.9045831823204364e-10,-1.3130610891863513e-12
