time,potential,current1_mA,coll_current,current1,current1_muA
1243.98,0.8875799999999999,-0.000171,,-1.71e-07,-0.171
1244.04,0.884998,-0.000384,,-3.84e-07,-0.384
1244.103,0.8825870000000001,-0.000601,,-6.009999999999999e-07,-0.601
1244.165,0.8803489999999999,-0.0007700000000000001,,-7.7e-07,-0.77
1244.23,0.8775950000000001,-0.000918,,-9.18e-07,-0.918
1244.2910000000002,0.874323,-0.001063,,-1.0630000000000002e-06,-1.0630000000000002
1244.353,0.871741,-0.001107,,-1.1070000000000002e-06,-1.1070000000000002
1244.414,0.866748,-0.001235,,-1.235e-06,-1.235
1244.476,0.863649,-0.001249,,-1.249e-06,-1.249
1244.538,0.863477,-0.0013310000000000002,,-1.331e-06,-1.3310000000000002
1244.599,0.85814,-0.00141,,-1.41e-06,-1.41
1244.6580000000001,0.8576229999999999,-0.001531,,-1.531e-06,-1.531
1244.718,0.855557,-0.001559,,-1.559e-06,-1.5590000000000002
1244.781,0.849532,-0.001662,,-1.662e-06,-1.662
1244.843,0.849015,-0.001806,,-1.806e-06,-1.806
1244.904,0.84385,-0.001882,,-1.882e-06,-1.882
1244.965,0.840751,-0.001972,,-1.972e-06,-1.972
1245.027,0.8376520000000001,-0.002047,,-2.047e-06,-2.047
1245.086,0.8348969999999999,-0.0021030000000000003,,-2.1030000000000004e-06,-2.103
1245.146,0.8319709999999999,-0.002158,,-2.158e-06,-2.158
1245.2089999999998,0.828699,-0.002202,,-2.202e-06,-2.202
1245.275,0.825773,-0.002165,,-2.165e-06,-2.165
1245.335,0.825256,-0.002165,,-2.165e-06,-2.165
1245.397,0.8221569999999999,-0.002233,,-2.233e-06,-2.233
1245.4589999999998,0.81682,-0.002285,,-2.285e-06,-2.285
1245.519,0.816303,-0.002289,,-2.2890000000000004e-06,-2.289
1245.578,0.813377,-0.00233,,-2.33e-06,-2.33
1245.638,0.807867,-0.002402,,-2.402e-06,-2.4019999999999997
1245.697,0.807867,-0.002402,,-2.402e-06,-2.4019999999999997
1245.758,0.802014,-0.002443,,-2.443e-06,-2.443
1245.822,0.80253,-0.002516,,-2.516e-06,-2.516
1245.882,0.798743,-0.002609,,-2.609e-06,-2.609
1245.942,0.793233,-0.002643,,-2.643e-06,-2.6430000000000002
1246.003,0.7928890000000001,-0.002653,,-2.6530000000000003e-06,-2.653
1246.0639999999999,0.787207,-0.002757,,-2.757e-06,-2.7569999999999997
1246.126,0.786519,-0.0027670000000000004,,-2.7670000000000004e-06,-2.7670000000000003
1246.188,0.783764,-0.002808,,-2.808e-06,-2.8080000000000003
1246.25,0.77791,-0.002822,,-2.822e-06,-2.822
1246.31,0.774984,-0.00286,,-2.86e-06,-2.8600000000000003
1246.372,0.771885,-0.0029010000000000004,,-2.9010000000000007e-06,-2.901
1246.435,0.77154,-0.002857,,-2.8570000000000008e-06,-2.8569999999999998
1246.497,0.768786,-0.00285,,-2.85e-06,-2.85
1246.556,0.765515,-0.002905,,-2.905e-06,-2.905
1246.619,0.760005,-0.002891,,-2.8910000000000004e-06,-2.891
1246.682,0.757251,-0.002991,,-2.991e-06,-2.991
1246.748,0.753635,-0.003125,,-3.125e-06,-3.125
1246.81,0.750708,-0.003108,,-3.108e-06,-3.108
1246.872,0.750364,-0.003115,,-3.115e-06,-3.115
1246.934,0.74451,-0.00316,,-3.16e-06,-3.16
1246.995,0.74451,-0.003125,,-3.125e-06,-3.125
1247.057,0.738657,-0.003118,,-3.118e-06,-3.1180000000000003
1247.122,0.735558,-0.003232,,-3.2319999999999997e-06,-3.2319999999999998
1247.182,0.7350409999999999,-0.0032630000000000003,,-3.2630000000000008e-06,-3.2630000000000003
1247.243,0.729704,-0.003256,,-3.2560000000000007e-06,-3.256
1247.305,0.729187,-0.003387,,-3.387e-06,-3.387
1247.367,0.725744,-0.003449,,-3.4490000000000008e-06,-3.4490000000000003
1247.4289999999999,0.720407,-0.003494,,-3.494e-06,-3.494
1247.491,0.720063,-0.0034729999999999995,,-3.473e-06,-3.4729999999999994
1247.552,0.716619,-0.003542,,-3.5419999999999997e-06,-3.542
1247.614,0.713693,-0.003545000000000001,,-3.5450000000000008e-06,-3.5450000000000004
1247.677,0.710594,-0.003545000000000001,,-3.5450000000000008e-06,-3.5450000000000004
1247.738,0.705601,-0.0035380000000000008,,-3.5380000000000007e-06,-3.5380000000000003
1247.799,0.7025020000000001,-0.003628,,-3.628e-06,-3.628
1247.859,0.699575,-0.003614,,-3.6139999999999996e-06,-3.614
1247.921,0.699231,-0.003676,,-3.676e-06,-3.676
1247.982,0.693893,-0.003783,,-3.783e-06,-3.783
1248.045,0.6906220000000001,-0.003817,,-3.817e-06,-3.8169999999999997
1248.108,0.687523,-0.003961999999999999,,-3.962e-06,-3.9619999999999993
1248.1680000000001,0.684424,-0.004014,,-4.014e-06,-4.013999999999999
1248.231,0.6814979999999999,-0.004048,,-4.047999999999998e-06,-4.047999999999999
1248.2939999999999,0.680465,-0.004062,,-4.0619999999999985e-06,-4.0619999999999985
1248.356,0.677538,-0.004072,,-4.072e-06,-4.072
1248.417,0.672373,-0.004117,,-4.117e-06,-4.117
1248.481,0.669446,-0.004131,,-4.131e-06,-4.131
1248.542,0.6680689999999999,-0.004241,,-4.2410000000000006e-06,-4.2410000000000005
1248.6019999999999,0.663592,-0.004248,,-4.248e-06,-4.248
1248.663,0.66342,-0.00433,,-4.33e-06,-4.33
1248.725,0.659805,-0.004468,,-4.4679999999999986e-06,-4.468
1248.787,0.654467,-0.004547,,-4.547e-06,-4.547
1248.847,0.651541,-0.004558,,-4.5579999999999985e-06,-4.558
1248.907,0.648614,-0.004613,,-4.613e-06,-4.613
1248.971,0.647753,-0.004685,,-4.685e-06,-4.685
1249.032,0.644482,-0.004757,,-4.7569999999999995e-06,-4.757
1249.094,0.641899,-0.004744,,-4.744e-06,-4.744
1249.153,0.636562,-0.004854,,-4.854e-06,-4.854
1249.213,0.633808,-0.004857,,-4.857e-06,-4.857
1249.277,0.6332909999999999,-0.004864,,-4.8639999999999995e-06,-4.864
1249.339,0.62761,-0.004943,,-4.943e-06,-4.9430000000000005
1249.401,0.627093,-0.005009,,-5.0090000000000015e-06,-5.0089999999999995
1249.463,0.6217560000000001,-0.005036,,-5.0360000000000006e-06,-5.0360000000000005
1249.525,0.621067,-0.005157,,-5.157000000000001e-06,-5.157
1249.585,0.6179680000000001,-0.005195,,-5.195e-06,-5.195
1249.644,0.615386,-0.005177,,-5.1770000000000014e-06,-5.1770000000000005
1249.7069999999999,0.612803,-0.005253,,-5.253e-06,-5.252999999999999
1249.769,0.6091880000000001,-0.005298,,-5.298e-06,-5.297999999999999
1249.839,0.605744,-0.005264,,-5.264000000000002e-06,-5.263999999999999
1249.9,0.6029899999999999,-0.00526,,-5.26e-06,-5.26
1249.963,0.599719,-0.00536,,-5.36e-06,-5.36
1250.024,0.596964,-0.005398,,-5.398e-06,-5.398
1250.085,0.591283,-0.0053560000000000005,,-5.356000000000002e-06,-5.356000000000001
1250.146,0.59111,-0.005415,,-5.415e-06,-5.415
1250.2089999999998,0.5873229999999999,-0.005490999999999999,,-5.4910000000000005e-06,-5.4910000000000005
1250.269,0.58233,-0.00546,,-5.46e-06,-5.460000000000001
1250.329,0.581813,-0.005477,,-5.477e-06,-5.477
1250.392,0.57596,-0.005490999999999999,,-5.4910000000000005e-06,-5.4910000000000005
1250.455,0.573033,-0.00546,,-5.46e-06,-5.460000000000001
1250.514,0.573033,-0.005405,,-5.405e-06,-5.405
1250.575,0.569762,-0.005381,,-5.3810000000000015e-06,-5.381
1250.638,0.56408,-0.005370000000000001,,-5.37e-06,-5.370000000000001
1250.698,0.561154,-0.005336,,-5.3359999999999985e-06,-5.3359999999999985
1250.757,0.558227,-0.005288,,-5.287999999999999e-06,-5.287999999999999
1250.819,0.55771,-0.005198,,-5.197999999999998e-06,-5.198
1250.881,0.552029,-0.005167000000000001,,-5.1670000000000015e-06,-5.167000000000002
1250.9560000000001,0.550996,-0.005029,,-5.029e-06,-5.029
1251.017,0.544798,-0.004961,,-4.961e-06,-4.961
1251.079,0.544798,-0.004806,,-4.806e-06,-4.806
1251.141,0.539116,-0.004695,,-4.695000000000002e-06,-4.695
1251.201,0.536362,-0.00462,,-4.62e-06,-4.62
1251.263,0.535501,-0.004472,,-4.4720000000000006e-06,-4.4719999999999995
1251.325,0.532057,-0.004423,,-4.423e-06,-4.423
1251.386,0.529131,-0.004299,,-4.299e-06,-4.299
1251.447,0.5260319999999999,-0.0041340000000000005,,-4.1340000000000006e-06,-4.1339999999999995
1251.509,0.523105,-0.004014,,-4.014e-06,-4.013999999999999
1251.57,0.519662,-0.003876,,-3.876e-06,-3.8760000000000003
1251.63,0.516735,-0.003766,,-3.766e-06,-3.766
1251.69,0.5113979999999999,-0.00369,,-3.69e-06,-3.69
1251.755,0.508126,-0.003442,,-3.442e-06,-3.4419999999999997
1251.817,0.5074380000000001,-0.003339,,-3.3389999999999997e-06,-3.339
1251.889,0.501584,-0.00337,,-3.3700000000000008e-06,-3.37
1251.9489999999998,0.498485,-0.003287,,-3.287e-06,-3.2869999999999995
1252.014,0.495042,-0.003122,,-3.122e-06,-3.122
1252.076,0.491943,-0.002967,,-2.9669999999999997e-06,-2.967
1252.138,0.491426,-0.002891,,-2.8910000000000004e-06,-2.891
1252.205,0.485745,-0.002915,,-2.915e-06,-2.915
1252.264,0.484023,-0.002905,,-2.905e-06,-2.905
1252.327,0.481957,-0.002881,,-2.881e-06,-2.8810000000000002
1252.39,0.476276,-0.002808,,-2.808e-06,-2.8080000000000003
1252.451,0.4731770000000001,-0.002691,,-2.691e-06,-2.6910000000000003
1252.513,0.47266,-0.002612,,-2.6119999999999997e-06,-2.612
1252.575,0.467151,-0.002585,,-2.585e-06,-2.585
1252.636,0.466807,-0.002554,,-2.554e-06,-2.5540000000000003
1252.697,0.461297,-0.002464,,-2.464e-06,-2.464
1252.757,0.45837,-0.002485,,-2.4850000000000003e-06,-2.4850000000000003
1252.819,0.457682,-0.0024920000000000003,,-2.4920000000000005e-06,-2.4920000000000004
1252.881,0.454583,-0.002468,,-2.4680000000000003e-06,-2.468
1252.942,0.451139,-0.002519,,-2.519e-06,-2.519
1253.005,0.448557,-0.002523,,-2.523e-06,-2.523
1253.069,0.44563,-0.002502,,-2.502e-06,-2.502
1253.133,0.442359,-0.002423,,-2.4230000000000003e-06,-2.423
1253.2,0.436505,-0.00245,,-2.45e-06,-2.45
1253.264,0.433234,-0.002554,,-2.554e-06,-2.5540000000000003
1253.33,0.432546,-0.002478,,-2.478e-06,-2.478
1253.393,0.429274,-0.002468,,-2.4680000000000003e-06,-2.468
1253.4589999999998,0.426348,-0.002433,,-2.4330000000000003e-06,-2.4330000000000003
1253.522,0.423076,-0.0024920000000000003,,-2.4920000000000005e-06,-2.4920000000000004
1253.5839999999998,0.419805,-0.002585,,-2.585e-06,-2.585
