time,ion_current_M2,ion_current_M44,potential,current1_mA,coll_current,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
1817.7,3.133762934065918e-09,2.3846825054945117e-10,0.006768906249999081,-0.0001033750000000604,,-1.0337500000006039e-07,-0.1033750000000604,-3.3141102240273604e-12,-4.289003137123325e-12,9.748929130959636e-13,3.1206178601801218e-09,2.4621911402706043e-10,-7.750863477609213e-12,-8.726891987679567e-12,9.76028510070353e-13,2.4017978563535993e-10,-1.7115350859086523e-12
1817.75,3.1248805164835203e-09,2.389036232044201e-10,0.007440262295081208,3.888524590135446e-05,,3.888524590135446e-08,0.03888524590135446,-2.8787375690584195e-12,-4.288998827318262e-12,1.4102612582598417e-12,3.1206194232040058e-09,2.462194622186416e-10,-7.315839014221421e-12,-8.727235917096565e-12,1.4113969028751442e-12,2.4017978563535993e-10,-1.2761624309397106e-12
1817.8,3.115998098901083e-09,2.377477392265157e-10,0.007995750000002138,0.00011020312499919485,,1.1020312499919483e-07,0.11020312499919488,-4.034621546962927e-12,-4.2889944026240916e-12,2.5437285566116503e-13,3.120620982989868e-09,2.462198104252755e-10,-8.472071198759854e-12,-8.727579746900028e-12,2.5550854814017437e-13,2.4017978563535993e-10,-2.4320464088442182e-12
1817.85,3.1110357016574593e-09,2.365918552486164e-10,0.008517380952380598,-7.91428571428757e-05,,-7.914285714287571e-08,-0.07914285714287571,-5.190505524862162e-12,-4.288989863054367e-12,-9.015156618077948e-13,3.120622539538278e-09,2.462201586469654e-10,-9.628303398348992e-12,-8.727923477106951e-12,-9.003799212420395e-13,2.4017978563535993e-10,-3.587930386743453e-12
1817.9,3.1124691270718213e-09,2.354359712707172e-10,0.008790396825396767,-6.485714285714596e-05,,-6.485714285714595e-08,-0.06485714285714594,-6.346389502761396e-12,-4.288985208620087e-12,-2.0574042941413105e-12,3.1206240928493454e-09,2.462205068837146e-10,-1.0784535612997473e-11,-8.728267107731778e-12,-2.0562685052656933e-12,2.4017978563535993e-10,-4.7438143646426884e-12
1817.95,3.113902552486185e-09,2.3547772320441965e-10,0.00895661290322548,-6.2e-05,,-6.2e-08,-0.062,-6.304637569058878e-12,-4.288980439341271e-12,-2.015657129717608e-12,3.1206256429222205e-09,2.462208551355266e-10,-1.0743131931106899e-11,-8.72861063879795e-12,-2.0145212923089483e-12,2.4017978563535993e-10,-4.7020624309401694e-12
1818.0,3.1153359779005474e-09,2.3638672872928055e-10,0.009328709677418705,2.335483870949853e-05,,2.3354838709498548e-08,0.023354838709498543,-5.3956320441980325e-12,-4.288975555258515e-12,-1.1066564889395165e-12,3.120627189755237e-09,2.4622120340240466e-10,-9.83447467312416e-12,-8.728954070349479e-12,-1.1055206027746809e-12,2.4017978563535993e-10,-3.793056906079324e-12
1818.05,3.117291745856356e-09,2.372957342541456e-10,0.009880984126986537,7.011111111032833e-05,,7.011111111032835e-08,0.07011111111032835,-4.4866265193330485e-12,-4.288970556432573e-12,-1.9765596290047609e-13,3.1206287333460586e-09,2.462215516843521e-10,-8.925817430206605e-12,-8.729297402450518e-12,-1.965200277560867e-13,2.4018111049723845e-10,-2.88537624309292e-12
1818.1,3.1194124640884004e-09,2.3820473977900643e-10,0.010534380952377936,-9.619047619049372e-05,,-9.619047619049372e-08,-0.09619047619049373,-3.5776209944722032e-12,-4.288965442935266e-12,7.113444484630635e-13,3.120630273691817e-09,2.462218999813723e-10,-8.017160202365917e-12,-8.729640635176278e-12,7.124804328103634e-13,2.4018111049723845e-10,-1.9763707182320733e-12
1818.15,3.121533182320445e-09,2.385139087912091e-10,0.012857396825396323,-8.269841269841563e-05,,-8.269841269841562e-08,-0.08269841269841563,-3.268451982269477e-12,-4.2889602148403945e-12,1.020508232570917e-12,3.1206318107893137e-09,2.462222482934685e-10,-7.708339502259385e-12,-8.729983768603945e-12,1.0216442663445601e-12,2.4018507624309396e-10,-1.6711674518848534e-12
1818.2,3.1234001923076933e-09,2.38798084615385e-10,0.012531836065573477,-8e-05,,-8e-08,-0.08,-2.984276158093588e-12,-4.288954872221758e-12,1.3046787141281698e-12,3.120633344635227e-09,2.462225966206442e-10,-7.424512005259192e-12,-8.730326802810701e-12,1.305814797551506e-12,2.401860303867412e-10,-1.3879457713561876e-12
1818.25,3.123708708791209e-09,2.390822604395609e-10,0.012362311475409206,-3.0557377049307425e-05,,-3.055737704930743e-08,-0.03055737704930743,-2.7001003339176984e-12,-4.288949415153156e-12,1.5888490812354584e-12,3.1206348752263225e-09,2.462229449629025e-10,-7.140684523341607e-12,-8.730669737873727e-12,1.589985214532121e-12,2.401921850828747e-10,-1.109924643313812e-12
1818.3,3.124017225274726e-09,2.395880215469672e-10,0.013359468750002868,4.593749999923394e-06,,4.593749999923391e-09,0.004593749999923395,-2.194339226511389e-12,-4.2889438437083915e-12,2.0946046171970023e-12,3.1206364025596452e-09,2.462232933202469e-10,-6.6352717732797205e-12,-8.731012573870216e-12,2.0957408005904957e-12,2.4019813756906315e-10,-6.101160220959595e-13
1818.35,3.1243257417582424e-09,2.405646513812202e-10,0.01528158730158961,-4.392063492059694e-05,,-4.392063492059695e-08,-0.04392063492059695,-1.2177093922583645e-12,-4.28893815796126e-12,3.0712287657028968e-12,3.120637926632545e-09,2.462236416926808e-10,-5.658990311460599e-12,-8.731355310877346e-12,3.0723649994167493e-12,2.402036483516485e-10,3.610030295717359e-13
1818.4,3.124870607734808e-09,2.4154128121547324e-10,0.016101428571431767,-3.0428571428518846e-05,,-3.0428571428518845e-08,-0.030428571428518843,-2.4107955800533937e-13,-4.288932357985561e-12,4.0478527999802215e-12,3.120639447442713e-09,2.462239900802074e-10,-4.682708864734163e-12,-8.731697948972309e-12,4.048989084238147e-12,2.402036483516485e-10,1.3376328638247607e-12
1818.45,3.12565182320442e-09,2.425179110497263e-10,0.014882774193545575,-3.9241935483894104e-05,,-3.9241935483894104e-08,-0.0392419354838941,7.35550276247737e-13,-4.28892644385509e-12,5.024476720102827e-12,3.120640964988205e-09,2.462243384828301e-10,-3.706427433103772e-12,-8.73204048823229e-12,5.025613055128517e-12,2.4019813756906315e-10,2.319773480663167e-12
1818.5,3.126433038674033e-09,2.427849576923077e-10,0.015352968749998424,4.834374999987422e-05,,4.8343749999874215e-08,0.048343749999874217,1.0025969188290925e-12,-4.2889204156436415e-12,5.291517334472734e-12,3.120642479267501e-09,2.462246869005522e-10,-3.4397292082445115e-12,-8.732382928734475e-12,5.292653720489964e-12,2.401921850828747e-10,2.592772609432979e-12
