time,ion_current_M2,ion_current_M44,potential,current1_mA,coll_current,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
281.7,2.851548403314916e-09,2.0288818508287302e-10,0.4113997142857144,-0.000958,,-9.58e-07,-0.958,-3.889417569060557e-11,-4.4721276731362035e-11,5.827101040756477e-12,2.8313403222478567e-09,2.0535872515739847e-10,-2.4705400745255034e-12,-8.272668890936125e-12,5.802128816410622e-12,2.031037740331495e-10,-2.155889502764739e-13
281.75,2.848197850828728e-09,2.0235873846153852e-10,0.4110925714285714,-0.0009003214285714252,,-9.003214285714253e-07,-0.900321428571425,-3.9423622311940034e-11,-4.471673527783241e-11,5.293112965892373e-12,2.8313612277241167e-09,2.0536244061232026e-10,-3.0037021507817077e-12,-8.27185483093635e-12,5.268152680154644e-12,2.0311373846153849e-10,-7.549999999999369e-13
281.8,2.8448472983425403e-09,2.0281744725274742e-10,0.4104397999999992,-0.0007439999999999504,,-7.439999999999503e-07,-0.7439999999999504,-3.896491352073119e-11,-4.4712193069639495e-11,5.747279548908309e-12,2.831382136630781e-09,2.0536615584046784e-10,-2.5487085877204177e-12,-8.271039781483053e-12,5.722331193762634e-12,2.0313752817679554e-10,-3.200809240481406e-13
281.85,2.8406722857142837e-09,2.0327615604395625e-10,0.4088047931034484,-0.000648,,-6.48e-07,-0.648,-3.8506204729522336e-11,-4.4707650107237976e-11,6.201445377715647e-12,2.831403048964757e-09,2.0536987084184324e-10,-2.0937147978869945e-12,-8.270223743036751e-12,6.1765089451497555e-12,2.0314161381215447e-10,1.3454223180172972e-13
281.9000000000001,2.835529428571425e-09,2.037348648351651e-10,0.4089530689655174,-0.000648,,-6.48e-07,-0.648,-3.804749593831349e-11,-4.470310639108253e-11,6.655610452769049e-12,2.831423964722951e-09,2.0537358561644803e-10,-1.638720781282937e-12,-8.269406716057961e-12,6.630685934775023e-12,2.031590900552502e-10,5.757747799148818e-13
281.95,2.830386571428573e-09,2.0402755801104963e-10,0.408959,-0.0007908148148147898,,-7.908148148147899e-07,-0.7908148148147898,-3.7754802762428926e-11,-4.4698561921627825e-11,6.9437591591988924e-12,2.831444883902269e-09,2.0537730016428447e-10,-1.3497421532348145e-12,-8.268588701007206e-12,6.918846547772392e-12,2.0316117252747253e-10,8.663854835771208e-13
282.0,2.825243714285715e-09,2.0422686740331487e-10,0.4096777719298242,-0.000889,,-8.890000000000002e-07,-0.889,-3.7555493370163654e-11,-4.469401669932854e-11,7.138523329164881e-12,2.831465806500028e-09,2.053810144853541e-10,-1.1541470820391917e-12,-8.267769698345e-12,7.1136226163058075e-12,2.0316379723756864e-10,1.0630701657462591e-12
282.05,2.8252895414364635e-09,2.0442617679558014e-10,0.41096935714285737,-0.0008490000000000244,,-8.490000000000245e-07,-0.8490000000000244,-3.7356183977898414e-11,-4.468947072463937e-11,7.333286746740955e-12,2.8314867325134365e-09,2.05384728579659e-10,-9.585517840788283e-13,-8.26694970853186e-12,7.308397924453032e-12,2.0319836428571428e-10,1.227812509865892e-12
282.1,2.826474348066299e-09,2.046095867403311e-10,0.4090947192982455,-0.000683105263157976,,-6.831052631579761e-07,-0.6831052631579762,-3.717277403314748e-11,-4.4684923998015006e-11,7.512149964867528e-12,2.8315076619390844e-09,2.0538844244720118e-10,-7.788557068700756e-13,-8.266128732028301e-12,7.487273025158227e-12,2.0322450769230767e-10,1.3850790480233833e-12
282.1500000000001,2.827659154696133e-09,2.0401392375690552e-10,0.4086412105263156,-0.0009094210526316466,,-9.094210526316469e-07,-0.9094210526316466,-3.776843701657309e-11,-4.4680376519910136e-11,6.911939503337038e-12,2.8315285947729394e-09,2.0539215608798227e-10,-1.3782323310767265e-12,-8.265306769294832e-12,6.887074438218106e-12,2.0322690824175825e-10,7.870155151472448e-13
282.2,2.829519817679557e-09,2.0341826077348052e-10,0.408614,-0.000909224137931042,,-9.092241379310421e-07,-0.9092241379310418,-3.8364099999998034e-11,-4.467582829077944e-11,6.311728290781409e-12,2.8315495310104664e-09,2.053958695020044e-10,-1.9776087285238065e-12,-8.264483820791966e-12,6.28687509226816e-12,2.032294549450554e-10,1.8880582842513469e-13
282.25,2.834083906077349e-09,2.0282259779005499e-10,0.4087366727272728,-0.0008818909090908951,,-8.81890909090895e-07,-0.8818909090908951,-3.8959762983423616e-11,-4.467127931107767e-11,5.711516327654049e-12,2.8315704706467438e-09,2.0539958268926902e-10,-2.576984899214056e-12,-8.26365988698021e-12,5.686674987766153e-12,2.0323205303867428e-10,-4.094552486193215e-13
282.3,2.8386479944751404e-09,2.0254707912087928e-10,0.40888782758620695,-0.000578896551723969,,-5.788965517239691e-07,-0.578896551723969,-3.9235281652599305e-11,-4.4666729581259595e-11,5.431447928660283e-12,2.831591413676645e-09,2.054032956497784e-10,-2.856216528899145e-12,-8.262834968320072e-12,5.406618439420926e-12,2.032554521978022e-10,-7.083730769229125e-13
282.35,2.843212082872932e-09,2.027517769230771e-10,0.4098395901639351,-0.0005701967213116246,,-5.701967213116246e-07,-0.5701967213116247,-3.903058385040149e-11,-4.4662179101779936e-11,5.631595251378457e-12,2.8316123600952962e-09,2.054070083835346e-10,-2.655231460457494e-12,-8.262009065272062e-12,5.606777604814568e-12,2.0327615604395625e-10,-5.243791208791499e-13
282.4000000000001,2.8456619945054955e-09,2.0295647472527492e-10,0.4105265789473671,-0.000837,,-8.37e-07,-0.8370000000000001,-3.882588604820364e-11,-4.46576278730935e-11,5.831741824889863e-12,2.831633309897821e-09,2.0541072089053915e-10,-2.4542461652642084e-12,-8.261182178296684e-12,5.8069360130324745e-12,2.0327783480662962e-10,-3.2136008135470136e-13
282.45,2.8465809505494508e-09,2.0316117252747253e-10,0.4091810363636362,-0.0008394727272727213,,-8.394727272727211e-07,-0.8394727272727213,-3.8621188246006046e-11,-4.4653075895655044e-11,6.031887649648998e-12,2.831654263079347e-09,2.054144331707941e-10,-2.2532606433215877e-12,-8.26035430785443e-12,6.007093664532843e-12,2.0328681436464098e-10,-1.2564183716844487e-13
